timestamp_utc,headline,threats_and_vulnerabilities,opportunities_for_growth,neutral,news_score
2022-11-04 12:00:00+00:00,Ubs Downgrades Teva to Sell As Ceo Exit Ongoing Litigation Cloud the Pharma Stocks Outlook,0.1257,0.1467,0.7276,
2022-11-07 12:00:03+00:00,What Cramer Is Watching Monday Midterm Election Apple in China Cloud Collapse,0.1294,0.0803,0.7903,
2022-11-11 12:00:00+00:00,Jim Cramer Says to Hold Onto These 3 Cloud Stocks and Sell the Rest,0.0592,0.1341,0.8067,
2022-11-15 12:00:00+00:00,Amazon Starts Cutting Jobs in Alexa Unit and Cloud Gaming Division,0.7081,0.1168,0.1751,-0.7081
2022-11-17 12:00:00+00:00,Dropbox Helped End Thumb Drive Era But the Cloud Is Getting Crowded,0.7082,0.1009,0.1908,-0.7082
2022-11-30 12:00:02+00:00,Tencent Bets on Cloud Computing Growth Abroad Amid Gaming Slowdown,0.1655,0.6637,0.1709,0.6637
2022-12-06 12:00:00+00:00,Tech Wreckage Catches Up to Salesforce As Cloud Giants Valuation Reaches Parity to Microsofts,0.5965,0.2089,0.1946,-0.5965
2022-12-07 12:00:00+00:00,Google Oracle Amazon and Microsoft Awarded 9 Billion Pentagon Cloud Deals,0.08,0.7625,0.1575,0.7625
2022-12-08 12:00:00+00:00,Jim Cramers Top 10 Things Thursday War Cloud Salesforce Gamestop,0.0543,0.1165,0.8292,
2022-12-12 12:00:05+00:00,Jpmorgan Upgrades Box Says Cloud Stock Can Rally 20percent on Strong Financials and Product Suite,0.0909,0.6593,0.2498,0.6593
2022-12-13 12:00:00+00:00,Nasdaq Brings First Us Options Market to the Cloud with Revolutionary Edge Computing,0.0626,0.8014,0.1361,0.8014
2022-12-17 12:00:00+00:00,How Cloud Seeding Can Help Replenish Reservoirs in the West,0.1439,0.1761,0.68,
2022-12-28 12:00:00+00:00,How Amazons Cloud Unit Is Helping Researchers Analyze Genetics,0.1153,0.7111,0.1735,0.7111
2023-01-04 12:00:00+00:00,Microsoft Drops After Ubs Analysts Say Company Faces Cloud Weakness,0.6514,0.0922,0.2564,-0.6514
2023-01-11 12:00:00+00:00,The Cloud Investing Outlook After the Stocks Were Cut in Half Last Year Top Picks for 23,0.094,0.1203,0.7857,
2023-02-04 12:00:01+00:00,Amazon Google Microsoft Show Slowing Growth in Cloud Infrastructure,0.7887,0.1224,0.0889,-0.7887
2023-02-07 12:00:01+00:00,Microsofts Cloud Business Stands to Gain From the Ai Craze,0.075,0.7985,0.1265,0.7985
2023-02-13 12:00:01+00:00,This Under the Radar Cloud Stock Could Surge 60percent Bank of America Says,0.0728,0.1437,0.7835,
2023-02-16 13:00:00+00:00,Datadog launches innovative Cloud Cost Management suite to boost enterprise efficiency,0.0771,0.7771,0.1458,0.7771
2023-02-21 12:00:00+00:00,Microsoft Will Bring Xbox Games to Nvidias Cloud Gaming Service,0.0708,0.8207,0.1085,0.8207
2023-02-28 12:00:02+00:00,Petco Selects Adobe Experience Cloud As a One Stop Destination for Pet Parents,0.0788,0.783,0.1382,0.783
2023-04-05 12:00:02+00:00,Microsoft Amazon Make It Harder to Switch Cloud Uk Watchdog Says,0.2034,0.1799,0.6167,
2023-04-11 12:00:01+00:00,Analysts Worry About Microsofts Cloud But Really Like Humana,0.1127,0.2307,0.6566,
2023-04-12 12:00:02+00:00,Morgan Stanley Upgrades This Cloud Database Stock Sees a Pivot to Profitability,0.0812,0.6529,0.2659,0.6529
2023-04-25 12:00:00+00:00,Googles Cloud Business Turns Profitable for the First Time on Record,0.0816,0.7816,0.1368,0.7816
2023-04-26 12:00:00+00:00,Amazon Starts Layoffs Impacting Hr and Aws Cloud Unit,0.745,0.0842,0.1708,-0.745
2023-04-28 12:00:00+00:00,Amazon Falls on Slowing Cloud Growth How the Pros Are Playing It,0.812,0.0646,0.1234,-0.812
2023-04-28 12:00:01+00:00,Oil Set for Second Weekly Drop As Recession Fears Rates Cloud Outlook,0.1599,0.0861,0.754,
2023-04-28 12:00:06+00:00,Microsofts Big Bet on Cloud Gaming Is What Tripped Up Activision Deal,0.1454,0.2344,0.6203,
2023-04-29 12:00:00+00:00,Google Cloud Boss Thomas Kurians Rocky Path to Profit,0.0907,0.3119,0.5974,
2023-05-01 12:00:02+00:00,Amazon Microsoft and Alphabet Deliver Slower Cloud Growth Whats Ahead,0.7574,0.1162,0.1264,-0.7574
2023-05-09 12:00:02+00:00,Ai Could Double Microsofts Cloud Revenue Bernstein Says,0.0946,0.533,0.3724,0.533
2023-05-09 12:00:09+00:00,Wiz Ascent to 10 Billion Valuation Shows Cloud Security Still Huge,0.3455,0.3529,0.3016,0.3529
2023-05-10 12:00:03+00:00,Club Meeting Recap Stocks Mixed Cloud Holdings Disney,0.0901,0.3248,0.5851,
2023-05-16 12:00:00+00:00,Google Cloud Launches Ai Tools to Accelerate Drug Discovery,0.1316,0.6599,0.2085,0.6599
2023-05-23 12:00:07+00:00,Alibaba to Cut 7percent of Workforce in Its Cloud Unit As It Pursues Ipo,0.1431,0.5507,0.3062,0.5507
2023-06-01 12:00:01+00:00,Microsoft Inks Deal with Coreweave to Meet Openai Cloud Demand,0.1124,0.6476,0.24,0.6476
2023-06-06 12:00:00+00:00,Priceline Signs on with Google Cloud for Ai to Help Travel Booking,0.115,0.5785,0.3065,0.5785
2023-06-07 12:00:05+00:00,Google Cloud Partners with Mayo Clinic Brings Generative Ai to Health,0.0863,0.6742,0.2395,0.6742
2023-06-17 12:00:00+00:00,Microsoft Says Early June Disruptions to Outlook Cloud Platform Were Cyberattacks,0.4064,0.2347,0.3589,-0.4064
2023-06-28 12:00:04+00:00,Google Has Had Productive Talks with Eu on Ai Act Cloud Boss Says,0.1883,0.3767,0.435,
2023-07-11 12:00:02+00:00,Amazon Charts Its Own Course on Ai Leaning on Its Strengths in Cloud and E Commerce,0.1135,0.6372,0.2493,0.6372
2023-07-12 12:00:06+00:00,Google Cloud Shakeup Urs Holzle to Step Down From Executive Management,0.3097,0.2875,0.4027,
2023-07-12 12:00:07+00:00,New It Spending Survey Bodes Well for 7 Tech Stocks in Ai to Cloud to Cybersecurity,0.1063,0.5838,0.3099,0.5838
2023-07-25 12:00:00+00:00,Google Shows It Can Prevail Despite Ai Threats As Cloud Business Booms,0.2058,0.4495,0.3447,0.4495
2023-07-25 12:00:01+00:00,Microsoft Is in the Lead with Cloud Based Ai Workloads Nadella Says,0.1814,0.5794,0.2392,0.5794
2023-07-26 12:00:01+00:00,Alphabet Earnings Beats Boosted by Cloud Growth How to Play the Stock,0.2153,0.2799,0.5047,
2023-07-29 12:00:01+00:00,Google Stock Jumped 10percent This Week Fueled by Cloud Ads and Hope in Ai,0.1673,0.2185,0.6142,
2023-08-03 12:00:01+00:00,Amazon Knock Out Quarter Shows Its Cloud Business Is Back on Track,0.3059,0.2863,0.4078,
2023-08-08 12:00:00+00:00,Cloud Stocks Falter As Datadog Trims 2023 Revenue Expectations,0.1963,0.1472,0.6565,
2023-08-15 12:00:08+00:00,Were Starting a Position in a Business Software Giant Thats Upped Its Cloud Game,0.1355,0.627,0.2375,0.627
2023-08-18 12:00:05+00:00,Jim Cramer Says Buy This Cloud Play and This Industrial Stock,0.0588,0.2005,0.7407,
2023-08-24 12:00:10+00:00,Bank of America Says This Top Cloud Pick Can Rally 50percent From Here,0.0763,0.1885,0.7352,
2023-09-05 12:00:03+00:00,Bmw to Use Amazon Cloud to Build Its Driverless Features for New Evs,0.1398,0.6687,0.1915,0.6687
2023-09-08 12:00:01+00:00,Da Davidson Says This Cloud Data Provider Is Set to Benefit in a Big Way From Ai,0.1031,0.6526,0.2442,0.6526
2023-09-10 12:00:00+00:00,Alibaba Says Daniel Zhang Steps Down From Cloud Business,0.2213,0.4344,0.3443,0.4344
2023-09-11 12:00:07+00:00,Alibaba Shares Tumble After Daniel Zhang Unexpectedly Quits Cloud Business,0.3133,0.2334,0.4533,
2023-09-12 12:00:00+00:00,Government Shutdown Fears Cloud Legislative Agenda As House Returns,0.312,0.1241,0.5639,
2023-09-18 12:00:00+00:00,Oracle Ceo Touts Demand for Cloud Business After Stock Tumbled,0.1905,0.3958,0.4138,
2023-09-21 12:00:00+00:00,Bank of America Upgrades This Cloud Computing Stock That Can Surge Nearly 50percent,0.15,0.5132,0.3368,0.5132
2023-09-21 12:00:03+00:00,Deutsche Bank Says This Cloud Software Software Stock Is Poised for Big Gains Ahead,0.1083,0.4819,0.4098,0.4819
2023-10-05 12:00:00+00:00,Amazon and Microsofts Cloud Dominance Referred for Uk Competition Probe,0.1585,0.5857,0.2558,0.5857
2023-10-05 12:00:02+00:00,Were Adding to an Emerging Cloud Stock on Recent Weakness That Wont Last Long,0.2468,0.1281,0.6251,
2023-10-09 12:00:02+00:00,A Recent Slide in This Cloud Stock Creates a Buying Opportunity Evercore Isi Says,0.0824,0.3659,0.5518,
2023-10-24 12:00:00+00:00,Selling Alphabet Shares After the Tech Giant Missed on Cloud Numbers Is Shortsighted,0.2479,0.1809,0.5713,
2023-10-25 12:00:00+00:00,Alphabet Plummets After Cloud Revenue Falls Short What the Pros Say,0.4596,0.1255,0.4148,-0.4596
2023-10-25 12:00:01+00:00,Alphabet Stock Down 8percent on Cloud Miss As Investors Praise Microsoft,0.2065,0.2152,0.5783,
2023-10-25 12:00:02+00:00,Jefferies Analyst Says Microsoft Can Take Cloud Market Share Away From Amazon,0.1349,0.6037,0.2614,0.6037
2023-10-25 12:00:04+00:00,Imf Chief Israel Hamas War Is a New Cloud on Worlds Economic Horizon,0.1441,0.3192,0.5367,
2023-10-25 12:00:05+00:00,Amazon Launches European Sovereign Cloud As Eu Data Debate Rages,0.3177,0.4058,0.2765,0.4058
2023-10-27 12:00:01+00:00,Microsoft Azure Outpaced Aws and Google Cloud in Latest Quarter,0.4914,0.3105,0.1981,-0.4914
2023-11-01 12:00:02+00:00,Jim Cramer Says a Big Cloud Over the Bond Market Has Been Lifted,0.1188,0.0974,0.7838,
2023-11-01 12:00:09+00:00,Were Scooping Up Shares of This Software Giant Ahead of Cloud Growth,0.254,0.3638,0.3823,
2023-11-07 12:00:02+00:00,Goldman Double Upgrades This Under the Radar Cloud Stock with Nearly 40percent Upside,0.0849,0.2194,0.6957,
2023-11-17 12:00:00+00:00,Alibaba Sheds 20 Billion in Market Cap As Cloud Spinoff Scrapped,0.2382,0.3622,0.3996,
2023-11-24 12:00:02+00:00,Alibaba Baba Shakes Up Cloud Unit Management After Scrapping Ipo,0.3508,0.2168,0.4324,
2023-11-29 12:00:00+00:00,Salesforce Ceo Lauds Data Cloud Business Says New Customers Drove the Quarters Success,0.1649,0.5656,0.2695,0.5656
2023-11-29 12:00:03+00:00,Why Amazons New Ai Initiatives Stand to Boost Growth in the Cloud,0.2196,0.5734,0.207,0.5734
2023-12-12 12:00:00+00:00,Oracle Shares Fall More Than 10percent on Light Cloud Revenue,0.4511,0.1801,0.3688,-0.4511
2023-12-25 12:00:00+00:00,Inflation Has Created a Dark Cloud Over How Everyday Americans View the Economy,0.1996,0.1559,0.6445,
2023-12-27 12:00:01+00:00,Ai Boom Fails to Propel Chinas Cloud Market Growth,0.2273,0.4097,0.363,0.4097
2024-01-11 12:00:00+00:00,Google Vows Not to Charge Data Transfer Fees When Cloud Customers Exit,0.2133,0.5516,0.2351,0.5516
2024-01-11 12:00:01+00:00,Google Cloud Launches New Generative Ai Tools for Retailers,0.0792,0.7251,0.1956,0.7251
2024-01-11 12:00:03+00:00,Cloud Software Stock Salesforce Crm Keeps Getting Analyst Upgrades,0.281,0.3763,0.3427,0.3763
2024-01-16 12:00:07+00:00,Vodafone Signs 1point5 Bln Microsoft Deal for Ai Cloud and Iot,0.082,0.6951,0.2229,0.6951
2024-01-19 12:00:04+00:00,Deutsche Bank Says These Two Cloud Stocks Are Top Picks for 2024,0.072,0.2567,0.6713,
2024-01-19 12:00:06+00:00,Amazons Aws to Invest 15 Bln to Expand Cloud Computing in Japan,0.117,0.6975,0.1856,0.6975
2024-02-09 12:00:03+00:00,Jim Cramer Praises Cloudflare But Prefers This Cybersecurity Play Instead,0.0654,0.2181,0.7165,
2024-02-12 12:00:01+00:00,Microsoft Ai Growth Helping Azure Cloud Chip Away at Amazons Lead,0.4197,0.3888,0.1916,-0.4197
2024-02-26 12:00:07+00:00,Highmark Health Integrating Tech From Google Cloud and Epic Systems,0.1122,0.6261,0.2617,0.6261
2024-02-29 12:00:05+00:00,Alibaba Cloud Slashes Prices by As Much As 55percent to Fuel Ai Growth in China,0.1948,0.4398,0.3654,0.4398
2024-03-08 12:00:00+00:00,Microsoft Accused by Rivals of Squeezing Cloud Firms Profit Margins,0.2082,0.4115,0.3803,0.4115
2024-03-18 12:00:11+00:00,United Arab Emirates Is Using Cloud Seeding Tech to Make It Rain,0.1508,0.3109,0.5384,
2024-03-19 12:00:10+00:00,Cloud Software Makers See Sliding Revenue Retention As Clients Ease Up,0.4408,0.317,0.2422,-0.4408
2024-04-03 12:00:05+00:00,Amazon Layoffs Hundreds of Jobs Cut in Cloud Computing Unit,0.7062,0.1179,0.1759,-0.7062
2024-04-07 12:00:00+00:00,Oracle Chatgpt and the Sovereign Cloud Nations Will Seek in Future,0.097,0.6284,0.2746,0.6284
2024-04-09 12:00:04+00:00,A Chance to Differentiate Its Offering What Analysts Expect From Googles Cloud Event,0.0844,0.474,0.4415,0.474
